spid,mbid,wdid
0r7o2FeARRr23EZ0TJ0a8S,d99084ee-de04-3ba1-8203-5f1a7e5355ee,http://www.wikidata.org/entity/Q1066535
5eqcF7pWzHgWpGdEmHgeSN,d99084ee-de04-3ba1-8203-5f1a7e5355ee,http://www.wikidata.org/entity/Q1066535
0MQ7olLhVAz2H8RKDDf3fD,,http://www.wikidata.org/entity/Q28791850
2K05uBOIOivJw2VFV43Y8h,,http://www.wikidata.org/entity/Q28792638
5Q8assm15sQD6IagAp4r8i,,http://www.wikidata.org/entity/Q28792637
2IomcxAKLoO8iZTRExLyeG,,http://www.wikidata.org/entity/Q28799897
6OVPiJEES8oz0Npb0Sm31e,,http://www.wikidata.org/entity/Q30094142
4zaUnCq6Wjmij7fb78hEx4,,http://www.wikidata.org/entity/Q30119361
5T3suin8kAPlGsmepZc7zW,,http://www.wikidata.org/entity/Q30435114
7db2ILAn5xxis89ct2F79E,2953f5a3-3ee1-4b4b-a220-269fcdcd6623,http://www.wikidata.org/entity/Q17751026
0ndGMh4twJNzPpr5XtHTR2,6c9c4985-3628-3070-b956-b538f30c9bea,http://www.wikidata.org/entity/Q842126
3BGP6iSTqLG5tSreGFOAKD,dd022dc0-6f0e-4f32-bf5d-9dd79c6a059a,http://www.wikidata.org/entity/Q858020
2zd0hyPdOLx1oaXYnJZaK6,af038b11-68b9-4da0-a883-8935e05297ae,http://www.wikidata.org/entity/Q881555
4MMSp7YXFGx1N9zvKZsRdz,3ce31a09-61b9-4078-8790-3cf89c7e4323,http://www.wikidata.org/entity/Q22162876
5OQWOFvLnQ295zgajt5xYV,a3c2225f-f08f-4134-baa8-c8610887ae6a,http://www.wikidata.org/entity/Q22170729
2FD2pWS8T6SS9UaCTSNKww,,http://www.wikidata.org/entity/Q39502570
5qLBw1hbAsapAzMN2bqVWj,de840293-f480-4060-bf2c-0bde00630390,http://www.wikidata.org/entity/Q22260056
1p1abywR5w30wYotUcEidK,4676230c-e43e-41b4-818b-72ebb1b16037,http://www.wikidata.org/entity/Q13403109
01RJdKvXyz515O37itqMIJ,2cecb2c0-cac3-3c55-8083-577308746230,http://www.wikidata.org/entity/Q1077225
39jsLMRmrTpfdq2vE4TCUe,2cecb2c0-cac3-3c55-8083-577308746230,http://www.wikidata.org/entity/Q1077225
55k30y4zrrohMEXBuSb0uc,,http://www.wikidata.org/entity/Q42710103
7yt6phG5xD6MMTrW3sdYjQ,ff69d6e6-5b47-30d3-863a-449d0559f337,http://www.wikidata.org/entity/Q1227157
394iVM0BcR0DTb8AoNijdg,faf04663-dbc0-4772-b6fb-7d6764092c7a,http://www.wikidata.org/entity/Q34499537
6FGtHwis92QKQpD33UhqPm,8ecadf21-67dd-42f1-892d-aca4325ee82f,http://www.wikidata.org/entity/Q34503999
02vS1kDmFGTZAqVdX2kBn9,50cef034-1139-490a-934c-4ecfc588306e,http://www.wikidata.org/entity/Q38499204
6c7d0efZpNxeQCOm6Af7fD,40bc7686-28a9-3b6a-851b-7ad87083acda,http://www.wikidata.org/entity/Q5826843
3brBb38wRoaZn0taU9vsIV,85f86384-cba6-4014-8cb0-55a00950d2bd,http://www.wikidata.org/entity/Q22683058
33oa8PgxhKsEljdeM0Vt5G,bf846fd9-f09d-46f8-ad5e-b0878103f3e3,http://www.wikidata.org/entity/Q42663344
2Qi505Jvq2d1jjgf5daNR8,bc825b46-a2cb-4968-a84b-abbc4e992642,http://www.wikidata.org/entity/Q22996837
3imrymT4IdPmsoIAlkEa2w,52a79884-4ce0-421b-83ad-ad1648118669,http://www.wikidata.org/entity/Q18960120
7EpUpNUkkEGnaCvkcn1j4H,6c8da063-2c3c-49ca-9f55-553ec642c71d,http://www.wikidata.org/entity/Q26884245
6ktKxznxtvaTxZB8hna21f,a7a91eff-440f-4fe6-bee9-6ba3b7dc3310,http://www.wikidata.org/entity/Q26920270
2ytnyIyZtRxXPHpc9C2baz,1f0aeb08-32ae-482c-81b5-21523f80f67e,http://www.wikidata.org/entity/Q18678478
712VoD72K500yLhhgqCyVe,05ad0e67-417a-44b0-b34d-e77bd843f279,http://www.wikidata.org/entity/Q14567932
5iycp7Ji0MWiF3HQ77muaq,7660c16e-11c6-485c-abce-3739fc4b6caa,http://www.wikidata.org/entity/Q18812565
6ZqJ9x404zhLMrIDXKViae,3dd667fe-99f1-4139-b314-26579a35cb90,http://www.wikidata.org/entity/Q23023397
1xDxhG7YDAvoqL5fW8m1HO,cccbc5a4-ba37-44bf-beb5-4989bdd91739,http://www.wikidata.org/entity/Q23038306
