spid,mbid,wdid
4TTV7EcfroSLWzXRY6gLv6,bfbb4f04-5190-4fc4-a015-cd75c3a5fdd1,http://www.wikidata.org/entity/Q25217622
7EqpEBPOohgk7NnKvBGFWo,de06a23b-71b1-48e4-9308-c36bb39521b8,http://www.wikidata.org/entity/Q25217627
6OG1S805gIrH5nAQbEOPY3,3d4e1f58-be03-483b-8b04-76ae7082c9ef,http://www.wikidata.org/entity/Q25217771
6KgqnT2piwRDRbU8Obxlva,f5489b15-03b1-4157-8413-c1a0255cba89,http://www.wikidata.org/entity/Q24718463
6dr7ekfhlbquvsVY8D7gyk,175add58-9247-4424-abe0-d0159e9147b9,http://www.wikidata.org/entity/Q25609322
3D4J0o9w44QKFrBrYrSVJY,8c9f908f-b872-4651-9ad7-cdd6c69aabe5,http://www.wikidata.org/entity/Q25616240
2qFIJT5hjqaNFA1GKwl9me,c81ff73b-22fa-45ea-87b6-9db6b8c9220e,http://www.wikidata.org/entity/Q25618293
05bhmaAD1urZnQMWNd6p3S,7417f1b9-a475-43d3-9349-6271679891ca,http://www.wikidata.org/entity/Q25620262
4eeN8erNIbW2osT0knz5vT,6274cb67-569e-4812-9e04-aa61bea97d40,http://www.wikidata.org/entity/Q25621406
3Z2tPWiNiIpg8UMMoowHIk,0b9a2e1d-361e-3f84-89c4-e996eb7ee2eb,http://www.wikidata.org/entity/Q308895
5AdoS3gS47x40nBNlNmPQ8,1863ad91-4b77-34ef-bad3-6087ccd9a79f,http://www.wikidata.org/entity/Q532024
4nuPrKithHbRJXuA9spwu4,dbff941e-c429-4382-a61c-f184b5d50454,http://www.wikidata.org/entity/Q5248905
3nJYcY9yvKP8Oi2Ml8brXt,af1f3217-a68a-429c-897d-1f252c99622f,http://www.wikidata.org/entity/Q25612182
2yBMVrq96wb9OHbMdBs0lF,f42108eb-9677-4ac8-ad40-6ad6aa1a8cef,http://www.wikidata.org/entity/Q25612475
3lXyAQ0kekAvY5LodpWmUs,4a12fa45-ef15-4b19-a5e3-aa23ef35bce7,http://www.wikidata.org/entity/Q25613540
68Ijc4fPmT3P5BN6Vrl2s2,84e3ab23-26da-4472-b6bd-2ef185ed48c7,http://www.wikidata.org/entity/Q25621968
6lsFGDo1IEEPFKh94c9kFe,d500ceb2-a627-412e-b4c0-860c3809e053,http://www.wikidata.org/entity/Q25624600
0LpHC9mhPAQC98IjXZIrif,babca190-3087-4114-a90b-a578abe0cb90,http://www.wikidata.org/entity/Q25625089
2v7ywbUzCgcVohHaKUcacV,32862cb0-84c7-3737-971e-b1c505624eb6,http://www.wikidata.org/entity/Q1420677
2m0M7YqCy4lXfedh18qd8N,35b448bb-9543-35de-a36e-87c27db8e98c,http://www.wikidata.org/entity/Q1458640
6PUJEckAKg4Mp47VFZxdpJ,da02814d-c449-4d1a-aa1f-6e8bc5475569,http://www.wikidata.org/entity/Q5469659
4yQw7FR9lcvL6RHtegbJBh,364a2b33-5f3a-4d3d-8eca-9714f97cb6f3,http://www.wikidata.org/entity/Q2291357
6V50MyHPGhEmwYu0Wdyf0t,a7e6fea4-e0dd-48f5-b2fd-b2e160268499,http://www.wikidata.org/entity/Q2415121
7Dy1LOaEeuYOEe5k17T3Rh,fbc9191b-e6a3-3ff9-8ffb-055e7fdedd37,http://www.wikidata.org/entity/Q2551963
7l9x4bASPsIodOguseofyj,373012f1-1ef9-4ada-bff3-a645e7bce544,http://www.wikidata.org/entity/Q22913800
2LkaNhCrNVmcYgXJeLVmsw,ac967d83-36c2-3bf5-a2a6-562c4b1fdb2e,http://www.wikidata.org/entity/Q922139
37lYrZzmbRiEySPGkiGjXA,,http://www.wikidata.org/entity/Q215787
4OBvbFdZqUzKqmd5SVQpLX,,http://www.wikidata.org/entity/Q881598
78VzqshG6u9PhczZB2O7g2,,http://www.wikidata.org/entity/Q6720908
30XU4suKzCeoCK9YFzdufg,c2b27b3d-4fe7-3daa-ad38-147936522869,http://www.wikidata.org/entity/Q189002
18AJRdgUoO9EYn11N7xzaT,020cf0fc-44d4-4675-b1a6-fe67e2fa56e1,http://www.wikidata.org/entity/Q17091275
14QzP71jNp2vTBzT7KDwaA,,http://www.wikidata.org/entity/Q7679706
6aZ6jat6EhEm4bPplxmS7Z,6307122e-6b4b-4905-a544-297d7a50d8a8,http://www.wikidata.org/entity/Q20872531
46MX86XQqYCZRvwPpeq4Gi,,http://www.wikidata.org/entity/Q6477739
40YcuQysJ0KlGQTeGUosTC,1b6e4c9d-2df4-4d8a-8439-ac711f054cb9,http://www.wikidata.org/entity/Q21427772
27MB0qHaYAZiTlwg25js1Y,bfc9b405-9143-447a-bff1-0b03decee367,http://www.wikidata.org/entity/Q25612871
1mGO8rwCE9zk7H06OxcU5m,5d942b64-3425-4fa6-97ab-dc987d9ffa93,http://www.wikidata.org/entity/Q25616235
1WHNqqRWhJVZIdCScFKtl5,52096d06-b331-4400-ba3b-7c72ca70098f,http://www.wikidata.org/entity/Q25620514
1DLfR4MOfLYbV6v3xrmWa8,457c4b28-66ba-449d-85e2-ad3ac1e1659a,http://www.wikidata.org/entity/Q25622306
2ydKgIVZAQXeYLWtxU8DFS,34b1531a-b70a-4de9-8fe3-92c50298a745,http://www.wikidata.org/entity/Q25624841
3H7QXM59ubkX9yyKD1fEwK,077189de-23c0-4674-970d-abe5f3b828c4,http://www.wikidata.org/entity/Q1280027
3dP0pLbg9OfVwssDjp9aT0,3ac3f0d2-8c53-4ee5-87d7-da90fec74458,http://www.wikidata.org/entity/Q25217623
6yQiETqWIJHWkxbCPcQfFd,,http://www.wikidata.org/entity/Q20746004
3Uyt0WO3wOopnUBCe9BaXl,,http://www.wikidata.org/entity/Q17265905
5Ja3kOLDFqXMRXaHluqPcC,,http://www.wikidata.org/entity/Q20992292
4OqUnGn5CECjA6fWLQ256w,2c77e306-54e3-4345-804a-e69dfe2aac90,http://www.wikidata.org/entity/Q22259752
39bFplJjUd0RhQWa8RxQOq,,http://www.wikidata.org/entity/Q22257495
1jgoppuII53gYfXQIh8Mkz,,http://www.wikidata.org/entity/Q15897083
15P8pXXsPIP0t2gsj33LFh,,http://www.wikidata.org/entity/Q23084914
2sFqhVukCd5RkWlXkqHVEs,,http://www.wikidata.org/entity/Q23928275
3G9gUGRgM4lB2ebVPUcMKI,,http://www.wikidata.org/entity/Q20747345
7cTCybQHKTEQLVmZ1vELKs,,http://www.wikidata.org/entity/Q21088200
7nD9nN3jord9wWcfW3Gkcm,,http://www.wikidata.org/entity/Q24759061
2Fn3coxd0xAZ09JtrgcgHa,,http://www.wikidata.org/entity/Q22253581
3FtosS8coexhGaRttmBgUA,,http://www.wikidata.org/entity/Q26848608
2hgzdQdnfWwtdpZbhZlV72,,http://www.wikidata.org/entity/Q23762945
09bMRl0m2qgtMT6QzOP4pd,,http://www.wikidata.org/entity/Q27494307
1hoDdW5RmBvRbdR6yD4krb,,http://www.wikidata.org/entity/Q24265843
5bWv9n00gp3az1ZPAP5eBc,,http://www.wikidata.org/entity/Q27943305
1FHNnq7rHNQ6PHiEqhVD9R,,http://www.wikidata.org/entity/Q27972924
2yTvQfrXKX51KggyzbmTUc,,http://www.wikidata.org/entity/Q28065870
7MSFoTbgwi5BFpilewAbUo,,http://www.wikidata.org/entity/Q28166095
1y79Q5QoYX1POEfBqAwJB5,,http://www.wikidata.org/entity/Q21258644
1VjlwsAMZb5DstGvgAyOoQ,,http://www.wikidata.org/entity/Q28800152
6FhqMiFC6PPYXihpGTFNMC,,http://www.wikidata.org/entity/Q22043200
6kqZ5SjgTYks31ZUee7Hay,,http://www.wikidata.org/entity/Q29018305
6301sWkK7hVwcrhcEwKPcH,,http://www.wikidata.org/entity/Q29116892
1Ui3r0Ih8F2MroiCWreCYi,,http://www.wikidata.org/entity/Q25896818
0SJPThTy7ynySPF4euczx7,,http://www.wikidata.org/entity/Q23010728
2h1IPjP471JJRSShTHRUhi,,http://www.wikidata.org/entity/Q23035063
2wlZcfF1jnIdz7oQd7xeub,,http://www.wikidata.org/entity/Q30092993
09TMClc8ytfjdbjZ6wfnjE,,http://www.wikidata.org/entity/Q26847216
1W96jFDMDAhhd38mPi1Km0,,http://www.wikidata.org/entity/Q26847157
7L5jgZtAyfiU7elB8DIqCx,4938cd19-7c06-49d0-a59b-35a49758eb45,http://www.wikidata.org/entity/Q21427193
2mqSz4xbzAOa7mKlbQbMKC,,http://www.wikidata.org/entity/Q28045456
0LtVx5vsq9nfpGsWgjUin6,,http://www.wikidata.org/entity/Q28152062
7m9XR7FquXLP1FewdAcNS9,107143bb-ca7b-4f33-8929-14f0f96e8766,http://www.wikidata.org/entity/Q25616231
7vhZcSEXGx8dHt1O5coI7Z,,http://www.wikidata.org/entity/Q24718116
4fiKrttz2xByJPTgpHn5TE,,http://www.wikidata.org/entity/Q28198173
2W9u3whoCkQYOUbmnSrHi1,74fdb581-6197-405d-8833-0109a98f38bf,http://www.wikidata.org/entity/Q25617550
0P09TBGSKiQwfUsEh1UafT,5731507e-f878-4d2c-bcb2-c7012f9544ae,http://www.wikidata.org/entity/Q25625593
3NzijGaUUbZ1lm9cPPQVg8,,http://www.wikidata.org/entity/Q28535879
1eKkyO5UKGXBfbgatavAFR,,http://www.wikidata.org/entity/Q28737113
3zRaOQYBTXqlfFkJQbToTn,,http://www.wikidata.org/entity/Q28775864
4Rk0pkogoaHVtCMTNU5aV0,,http://www.wikidata.org/entity/Q25444319
3kXqUXnukwkpsxhW8emNC0,,http://www.wikidata.org/entity/Q28914120
4p7imVjdIFRVRkcTDCId4Q,,http://www.wikidata.org/entity/Q29021540
7tUZWCHc2MXHd1qJGPB0ep,,http://www.wikidata.org/entity/Q29198559
2pp2oZ5mUoHdpELQu4PGg7,8a2f0203-8193-4b0c-806f-72a5cdf3a2b0,http://www.wikidata.org/entity/Q836606
3LmcxiBAtKygO9oaZOsTD9,,http://www.wikidata.org/entity/Q26047350
24dllQiOTtF6MdIQU9aA89,,http://www.wikidata.org/entity/Q29642220
7BKLCZ1jbUBVqRi2FVlTVw,,http://www.wikidata.org/entity/Q26257738
2kVHAQKVtczchKctctzbtK,,http://www.wikidata.org/entity/Q29982196
4ZHGWkbSYuzHpPFar3tmsp,,http://www.wikidata.org/entity/Q26847602
42z3DqNB88hUKzbTQxklxR,,http://www.wikidata.org/entity/Q30731399
0mel2N9Ws9r4yLQn5QE21Y,,http://www.wikidata.org/entity/Q39030406
31MkGwj0SWgZaTvEt5Hgxv,,http://www.wikidata.org/entity/Q36079006
3Eid8tDXUjwPDXgWqKR26D,,http://www.wikidata.org/entity/Q41556481
3ncgNpxLoBQ65ABk4djDyd,,http://www.wikidata.org/entity/Q42295217
2SpEHTbUuebeLkgs9QB7Ue,d2507d33-4bc2-3ac6-93d3-e79ad24a9712,http://www.wikidata.org/entity/Q1573997
0hnErtVKN1JyvfBNfpWDpO,b468bacb-1c9e-43d4-a10a-1d9905320686,http://www.wikidata.org/entity/Q5111446
19mLG1343wh1ojRgZbIF6G,1400129d-b331-4a7e-b12c-28109cf39546,http://www.wikidata.org/entity/Q22257324
5iIWAgaDRDSlpqtfBnyt0l,827c34ce-788f-4b5d-876f-aced4db6a1f6,http://www.wikidata.org/entity/Q22259824
19FlOSp2C11s65hzmOepmR,f02ad1b3-3e0f-46f8-a0e4-2571dd12cab7,http://www.wikidata.org/entity/Q18658521
40LYL1Z6xgCn5cBybo5K0D,1d41ebd5-d8c4-428f-b564-ad6d1313df0c,http://www.wikidata.org/entity/Q23763092
7EsSVPxaYoAZjQwhspJBs2,b74507b8-7f77-4c3c-a32e-95b488d78420,http://www.wikidata.org/entity/Q23763150
5spfJMqDpBvM0YNgAQGqxD,a6cc3faa-8610-4b82-bb14-df127824d546,http://www.wikidata.org/entity/Q1990113
0rq7ZJpeRFLNb63m6w89Mu,a4aa7d01-801c-4990-85d5-0f9101492611,http://www.wikidata.org/entity/Q3122852
3TfKt8mPpdXfQTMfRjHzyz,0d706cf0-9048-4315-b8b0-35f262402f62,http://www.wikidata.org/entity/Q24211456
6KRHMYPIWRgFWlXPgqO2Fp,0d706cf0-9048-4315-b8b0-35f262402f62,http://www.wikidata.org/entity/Q24211456
2MWGjlgU2twBL2Vq11bhFc,2153fad3-7380-30a1-951c-76e539c99e00,http://www.wikidata.org/entity/Q93359
0JUbZPYanLIfuZenDwMHeq,5f2f7575-092f-4dac-96b7-a4bd6043fafb,http://www.wikidata.org/entity/Q28038193
1Y8Ano5LZu7AxQuTILIBlc,de09d357-57fc-42fd-8951-56fe82ae286c,http://www.wikidata.org/entity/Q21043067
6SHI6STEW51cQkAXBRpLNj,f505ab64-aed3-4f09-af48-bfa554cd0ceb,http://www.wikidata.org/entity/Q25375343
2G9lekfCh83S0lt2yfffBz,c10c14fb-43c9-4c02-9ed0-4d39f712d8b0,http://www.wikidata.org/entity/Q25611555
6p7jXaTJdpzGWnOJoK2jYr,95d5d836-8474-4b59-9a9c-4a686563ba0c,http://www.wikidata.org/entity/Q25615621
6oF8ueLn5hIl4PRp17sxW6,5636cfdb-00e3-4cf2-975d-c68a191152a5,http://www.wikidata.org/entity/Q25615831
733tju3KUeatsbjcTRQ04i,5732ceeb-027e-4353-9460-e284d12591b6,http://www.wikidata.org/entity/Q25616236
0Iys022UwQ8xBfxE1g4nWZ,e699d5fa-17ab-4a20-a75b-3e377f9327fe,http://www.wikidata.org/entity/Q25621120
16sNPUamj4vnA7uQLozRpU,7249a691-613e-4746-b3a3-c3ccb3ab4315,http://www.wikidata.org/entity/Q25623271
7D1Lf7N7AtCuEq5PGJtIPz,bc1d7679-ce44-40c9-b34b-aa6dad06cac8,http://www.wikidata.org/entity/Q25623403
1dZutYKh4BtPlxbC81wV34,909087cc-f2ac-4ae8-a8f1-0c5eba388365,http://www.wikidata.org/entity/Q25625410
5zdMmHZqGHkQyfU6velIMU,a51bb4d3-5990-4c54-949a-b05cf7928025,http://www.wikidata.org/entity/Q20872523
